STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon Phi(TM) CPU 7250 @ 1.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Phi (Knights Landing) (Co)Processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,1.399824093 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region MMUL_Region,Group 1 Raw,HBM_CACHE,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,
RDTSC Runtime [s],0.065216,0.071092,0.069006,0.074811,0.057134,0.073875,0.060367,0.075151,0.065690,0.057740,0.072459,0.085086,0.078482,0.082999,0.071562,0.066754,0.072969,0.077712,0.078048,0.081008,0.068490,0.058794,0.070125,0.074372,0.056155,0.064196,0.063718,0.063239,0.064736,0.061706,0.070538,0.075568,0.079006,0.059847,0.065198,0.077286,0.082234,0.056577,0.058269,0.084626,0.062715,0.081399,0.080596,0.055517,0.059325,0.079442,0.083512,0.069579,0.061116,0.082681,0.076412,0.062011,0.075983,0.071765,0.073355,0.081813,0.083829,0.084234,0.067156,0.076818,0.068070,0.079844,0.080210,0.067570,
call count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63
INSTR_RETIRED_ANY,FIXC0,1268008000,8611311000,6353039000,6493522000,7902293000,7725871000,5549278000,7355150000,6194122000,6538179000,6195422000,6884998000,5978685000,5957051000,3577061000,3425032000,6094198000,6078758000,3002236000,3029168000,7602643000,7578032000,4056706000,4227114000,6537580000,6247723000,6104543000,6439945000,5304549000,5487933000,5944177000,5933997000,7247613000,7591901000,5331292000,5880996000,4389556000,4189639000,7687586000,8700945000,6549528000,8366193000,2123809000,1618462000,7854004000,8072087000,4626805000,4718890000,5456730000,7007647000,5318820000,5454501000,3591713000,3002589000,5506855000,5442480000,6994291000,7032997000,7722934000,7700271000,7740226000,7729828000,6519260000,8576377000
CPU_CLK_UNHALTED_CORE,FIXC1,1601471000,16297100000,19388960000,19375980000,17306660000,15454430000,19157440000,21158880000,16471800000,17845960000,14218400000,18813210000,18730340000,17937560000,16740020000,16664690000,18688810000,18403460000,18444480000,21630140000,15796700000,18699130000,16357040000,15536350000,20386920000,20767370000,17737740000,15231420000,16992070000,16674780000,16464960000,16263470000,17206350000,18068430000,15532280000,15345700000,20675730000,17961370000,19432740000,22204650000,16032770000,17187450000,17926280000,14161410000,18931840000,19514880000,20601240000,18887810000,15611620000,15668310000,17186190000,19908500000,16907900000,25505990000,18764750000,17697920000,24117600000,22529940000,20632090000,19781810000,17871180000,17618460000,16396870000,23838520000
CPU_CLK_UNHALTED_REF,FIXC2,2960203000,18096490000,18499750000,18520790000,14321180000,16078260000,18686640000,20186700000,15449610000,15583000000,15792290000,17665380000,19077530000,19699520000,14846170000,14537070000,17825180000,18002760000,19100250000,21139190000,16343670000,17153230000,20019840000,18856520000,18826480000,18998240000,17812960000,17916560000,14210950000,14314890000,15281080000,15044000000,17720650000,14708230000,16013970000,16267760000,20993560000,20385370000,19548620000,21206030000,19343440000,16846730000,17931120000,17218970000,17505670000,18539120000,20341180000,18119890000,15224880000,15273390000,17688920000,18495190000,19760400000,23375300000,18284390000,18413560000,21031890000,21367240000,18505680000,18518260000,14290620000,14426670000,20306940000,20625320000
EDC_RPQ_INSERTS,EDBOX0C0,1999832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX1C0,1751274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX2C0,2006372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX3C0,1731825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX4C0,1978752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX5C0,1739105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX6C0,1997485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX7C0,1745327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX0C1,147069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX1C1,87245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX2C1,163630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
