STRUCT,Info,3,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon Phi(TM) CPU 7250 @ 1.40GHz,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Phi (Knights Landing) (Co)Processor,,,,,,,,,,,,,,,,
CPU clock:,1.399950092 GHz,,,,,,,,,,,,,,,,
TABLE,Region MMUL_Region,Group 1 Raw,HBM_CACHE,47,,,,,,,,,,,,,
Region Info,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,
RDTSC Runtime [s],0.000613,0.001990,0.002311,0.002382,0.002078,0.002624,0.001475,0.001914,0.001752,0.002155,0.001670,0.002554,0.003022,0.002229,0.002474,0.001836,
call count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15
INSTR_RETIRED_ANY,FIXC0,20822730,19166330,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19
CPU_CLK_UNHALTED_CORE,FIXC1,15820810,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19
CPU_CLK_UNHALTED_REF,FIXC2,28457700,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19
EDC_RPQ_INSERTS,EDBOX0C0,11301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX1C0,8863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX2C0,11359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX3C0,8821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX4C0,11080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX5C0,8738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX6C0,11214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX7C0,8781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX0C1,3998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX1C1,2527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX2C1,4125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
