STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon Phi(TM) CPU 7250 @ 1.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Phi (Knights Landing) (Co)Processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,1.399974891 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region MMUL_Region,Group 1 Raw,HBM_CACHE,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,
RDTSC Runtime [s],0.094749,0.027031,0.060950,0.074662,0.037457,0.011124,0.045980,0.048932,0.103552,0.081221,0.156024,0.057534,0.159514,0.166551,0.092934,0.126368,0.173785,0.030051,0.127918,0.050566,0.135486,0.032958,0.109092,0.106373,0.102257,0.124791,0.039064,0.073153,0.133907,0.117519,0.123137,0.141683,0.151026,0.082860,0.023683,0.147637,0.161379,0.157707,0.068047,0.025407,0.177567,0.170153,0.098307,0.031540,0.022195,0.020477,0.028529,0.012945,0.055732,0.078087,0.018597,0.036051,0.085874,0.146074,0.017003,0.084464,0.054017,0.034534,0.079616,0.052126,0.014883,0.076395,0.043233,0.064591,
call count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63
INSTR_RETIRED_ANY,FIXC0,2664787000,4746439000,1.844674e+19,1.844674e+19,2066714000,974234400,1974334000,1689297000,740654800,272646400,1210165000,570535600,1.844674e+19,26066780,896439200,1056527000,46602990,1.844674e+19,1734492000,728289300,2014428000,36163170,853326600,625461000,223433100,409715900,652879600,824982000,1903323000,1804052000,1.844674e+19,1.844674e+19,893068800,1126795000,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1667756000,1626584000,4823966000,2314806000,493174500,153643700,1.844674e+19,211116800,1912269000,2575513000,404988000,1.844674e+19,1525003000,1432474000,1717592000,2469129000,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1067788000,3656910000,1017998000,3378442000
CPU_CLK_UNHALTED_CORE,FIXC1,1948657000,3967879000,911871900,1472426000,831804600,1.844674e+19,2329011000,2025304000,3188844000,993849400,3465893000,1.844674e+19,2025663000,1667352000,2536687000,1.844674e+19,4170510000,1.844674e+19,4545578000,3190132000,3555594000,707065900,3889890000,3467495000,1894507000,2084745000,1.844674e+19,1.844674e+19,1159401000,1043250000,3652970000,1284052000,3691278000,3131885000,1.844674e+19,264212900,3712614000,1330789000,768579100,1.844674e+19,2354691000,2934428000,2190083000,5268468000,972142200,777137200,1430817000,1.844674e+19,1947576000,2599353000,401335000,3338489000,2938098000,2982155000,1.844674e+19,697329200,630354600,1.844674e+19,826949000,1682056000,3668668000,2838549000,1.844674e+19,3308688000
CPU_CLK_UNHALTED_REF,FIXC2,1766233000,3392126000,2527905000,3575436000,3013235000,1748043000,3111946000,3242679000,3371842000,3960259000,4443862000,1629946000,5183853000,4390546000,3865268000,2648490000,4557877000,1969997000,4057948000,3589822000,4136778000,3292018000,4044839000,3887945000,3736638000,3790381000,631495000,858113000,3750452000,4537339000,4696274000,4770064000,4495401000,4016516000,2826454000,4702588000,5486366000,4215049000,3094499000,2000491000,4560656000,4644057000,3629302000,3459038000,3166835000,3095351000,3095063000,2968094000,2804010000,3048080000,2732624000,3282103000,4740633000,4407208000,3153710000,3051431000,2464002000,2745355000,3731098000,3847283000,4039911000,3568710000,2887552000,4390084000
EDC_RPQ_INSERTS,EDBOX0C0,882677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX1C0,668335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX2C0,881587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX3C0,658932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
