STRUCT,Info,3
CPU name:,Intel(R) Xeon Phi(TM) CPU 7250 @ 1.40GHz,
CPU type:,Intel Xeon Phi (Knights Landing) (Co)Processor,
CPU clock:,1.399775538 GHz,
TABLE,Region MMUL_Region,Group 1 Raw,HBM_CACHE,47
Region Info,HWThread 0,
RDTSC Runtime [s],3.157099,
call count,1,
Event,Counter,HWThread 0
INSTR_RETIRED_ANY,FIXC0,2632678000
CPU_CLK_UNHALTED_CORE,FIXC1,4711405000
CPU_CLK_UNHALTED_REF,FIXC2,4397312000
EDC_RPQ_INSERTS,EDBOX0C0,2216359
EDC_RPQ_INSERTS,EDBOX1C0,2213532
EDC_RPQ_INSERTS,EDBOX2C0,2224861
EDC_RPQ_INSERTS,EDBOX3C0,2207660
EDC_RPQ_INSERTS,EDBOX4C0,2209742
EDC_RPQ_INSERTS,EDBOX5C0,2190165
EDC_RPQ_INSERTS,EDBOX6C0,2211280
EDC_RPQ_INSERTS,EDBOX7C0,2202319
EDC_WPQ_INSERTS,EDBOX0C1,71190
EDC_WPQ_INSERTS,EDBOX1C1,53431
EDC_WPQ_INSERTS,EDBOX2C1,71095
EDC_WPQ_INSERTS,EDBOX3C1,53184
EDC_WPQ_INSERTS,EDBOX4C1,68125
EDC_WPQ_INSERTS,EDBOX5C1,50400
EDC_WPQ_INSERTS,EDBOX6C1,67102
EDC_WPQ_INSERTS,EDBOX7C1,48496
EDC_MISS_CLEAN,EUBOX0C0,968
EDC_MISS_CLEAN,EUBOX1C0,1032
EDC_MISS_CLEAN,EUBOX2C0,1180
EDC_MISS_CLEAN,EUBOX3C0,1127
EDC_MISS_CLEAN,EUBOX4C0,972
EDC_MISS_CLEAN,EUBOX5C0,1163
EDC_MISS_CLEAN,EUBOX6C0,950
EDC_MISS_CLEAN,EUBOX7C0,1046
EDC_MISS_DIRTY,EUBOX0C1,339
EDC_MISS_DIRTY,EUBOX1C1,367
EDC_MISS_DIRTY,EUBOX2C1,342
EDC_MISS_DIRTY,EUBOX3C1,384
EDC_MISS_DIRTY,EUBOX4C1,364
EDC_MISS_DIRTY,EUBOX5C1,379
EDC_MISS_DIRTY,EUBOX6C1,350
EDC_MISS_DIRTY,EUBOX7C1,338
MC_CAS_READS,MBOX0C0,598397
MC_CAS_WRITES,MBOX0C1,478
MC_CAS_READS,MBOX1C0,598408
MC_CAS_WRITES,MBOX1C1,491
MC_CAS_READS,MBOX2C0,598402
MC_CAS_WRITES,MBOX2C1,496
MC_CAS_READS,MBOX4C0,598403
MC_CAS_WRITES,MBOX4C1,470
MC_CAS_READS,MBOX5C0,598461
MC_CAS_WRITES,MBOX5C1,472
MC_CAS_READS,MBOX6C0,598475
MC_CAS_WRITES,MBOX6C1,479
TABLE,Region MMUL_Region,Group 1 Metric,HBM_CACHE,16
Metric,HWThread 0,
Runtime (RDTSC) [s],3.1571,
Runtime unhalted [s],3.3658,
Clock [MHz],1499.7593,
CPI,1.7896,
MCDRAM Memory read bandwidth [MBytes/s],358.0931,
MCDRAM Memory read data volume [GBytes],1.1305,
MCDRAM Memory writeback bandwidth [MBytes/s],-62.9950,
MCDRAM Memory writeback data volume [GBytes],-0.1989,
MCDRAM Memory bandwidth [MBytes/s],295.0981,
MCDRAM Memory data volume [GBytes],0.9317,
DDR Memory read bandwidth [MBytes/s],72.7867,
DDR Memory read data volume [GBytes],0.2298,
DDR Memory writeback bandwidth [MBytes/s],0.0585,
DDR Memory writeback data volume [GBytes],0.0002,
DDR Memory bandwidth [MBytes/s],72.8452,
DDR Memory data volume [GBytes],0.2300,
